,user_id,signup_month,treat,pre_spends,post_spends,age,gender,industry
0,0.0,0.0,0.0,519.5,424.6666666666667,39.0,M,Logistics
1,1.0,0.0,0.0,500.5,423.1111111111111,19.0,F,Logistics
2,2.0,0.0,0.0,499.0,423.44444444444446,29.0,M,E-commerce
3,3.0,2.0,1.0,494.0,530.5555555555555,38.0,M,E-commerce
4,4.0,9.0,1.0,455.0,451.8888888888889,53.0,F,Logistics
5,5.0,1.0,1.0,536.0,518.3333333333334,22.0,F,Logistics
6,6.0,4.0,1.0,493.5,500.77777777777777,21.0,M,E-commerce
7,7.0,8.0,1.0,484.0,447.3333333333333,69.0,F,E-commerce
8,8.0,0.0,0.0,473.5,413.22222222222223,34.0,M,E-commerce
9,9.0,2.0,1.0,513.5,518.5555555555555,39.0,M,E-commerce
10,,,,,,,,
11,11.0,0.0,0.0,493.5,409.77777777777777,25.0,M,E-commerce
12,12.0,10.0,1.0,474.0,442.22222222222223,51.0,F,Logistics
13,13.0,3.0,1.0,503.5,526.1111111111111,46.0,F,Logistics
14,14.0,4.0,1.0,457.0,513.2222222222222,52.0,F,Logistics
15,15.0,0.0,0.0,497.5,428.3333333333333,58.0,M,Logistics
16,16.0,0.0,0.0,481.5,410.1111111111111,31.0,M,Logistics
17,17.0,3.0,1.0,479.0,518.3333333333334,21.0,F,E-commerce
18,18.0,2.0,1.0,485.5,523.0,59.0,F,E-commerce
19,19.0,0.0,0.0,480.5,418.22222222222223,62.0,F,E-commerce
20,,,,,,,,
21,21.0,0.0,0.0,494.5,429.44444444444446,46.0,F,E-commerce
22,22.0,0.0,0.0,490.0,419.22222222222223,63.0,M,Logistics
23,23.0,4.0,1.0,475.0,512.1111111111111,26.0,F,E-commerce
24,24.0,1.0,1.0,560.5,522.3333333333334,27.0,F,E-commerce
25,25.0,5.0,1.0,468.5,493.44444444444446,63.0,F,E-commerce
26,26.0,5.0,1.0,503.5,506.22222222222223,63.0,F,E-commerce
27,27.0,0.0,0.0,505.5,430.6666666666667,57.0,F,Logistics
28,28.0,0.0,0.0,488.5,423.6666666666667,65.0,M,E-commerce
29,29.0,3.0,1.0,481.0,518.1111111111111,58.0,M,E-commerce
30,,,,,,,,
31,31.0,0.0,0.0,518.0,424.3333333333333,47.0,M,Logistics
32,32.0,3.0,1.0,501.0,523.3333333333334,39.0,F,Logistics
33,33.0,0.0,0.0,506.0,422.22222222222223,45.0,M,Logistics
34,34.0,4.0,1.0,506.0,515.4444444444445,57.0,M,E-commerce
35,35.0,5.0,1.0,513.0,492.3333333333333,20.0,M,Logistics
36,36.0,7.0,1.0,478.0,472.77777777777777,51.0,M,E-commerce
37,37.0,10.0,1.0,509.0,445.3333333333333,39.0,M,Logistics
38,38.0,8.0,1.0,504.5,451.22222222222223,50.0,M,E-commerce
39,39.0,0.0,0.0,462.0,418.44444444444446,20.0,M,Logistics
40,,,,,,,,
41,41.0,0.0,0.0,488.5,419.0,57.0,F,Logistics
42,42.0,3.0,1.0,489.0,512.4444444444445,23.0,F,E-commerce
43,43.0,2.0,1.0,502.5,500.8888888888889,63.0,F,E-commerce
44,44.0,9.0,1.0,477.0,454.77777777777777,29.0,F,E-commerce
45,45.0,0.0,0.0,495.0,425.77777777777777,55.0,F,Logistics
46,46.0,2.0,1.0,472.0,517.5555555555555,19.0,M,E-commerce
47,47.0,0.0,0.0,477.5,434.77777777777777,25.0,F,Logistics
48,48.0,8.0,1.0,476.5,466.6666666666667,28.0,M,Logistics
49,49.0,0.0,0.0,493.0,421.8888888888889,25.0,F,E-commerce
50,,,,,,,,
51,51.0,2.0,1.0,483.5,511.8888888888889,19.0,M,Logistics
52,52.0,0.0,0.0,495.0,427.55555555555554,60.0,M,Logistics
53,53.0,9.0,1.0,463.0,462.55555555555554,60.0,F,Logistics
54,54.0,10.0,1.0,496.0,445.3333333333333,29.0,M,E-commerce
55,55.0,8.0,1.0,483.5,456.77777777777777,49.0,M,E-commerce
56,56.0,6.0,1.0,475.5,487.3333333333333,65.0,M,E-commerce
57,57.0,0.0,0.0,488.0,421.44444444444446,44.0,M,Logistics
58,58.0,0.0,0.0,500.0,425.1111111111111,22.0,M,Logistics
59,59.0,0.0,0.0,496.5,419.22222222222223,18.0,M,E-commerce
60,,,,,,,,
61,61.0,0.0,0.0,484.5,431.1111111111111,47.0,F,E-commerce
62,62.0,0.0,0.0,479.0,425.22222222222223,48.0,F,E-commerce
63,63.0,0.0,0.0,513.5,410.77777777777777,27.0,F,E-commerce
64,64.0,2.0,1.0,482.0,514.5555555555555,56.0,M,Logistics
65,65.0,0.0,0.0,461.5,411.0,48.0,F,E-commerce
66,66.0,6.0,1.0,493.0,478.8888888888889,43.0,M,E-commerce
67,67.0,3.0,1.0,516.0,520.3333333333334,23.0,M,E-commerce
68,68.0,0.0,0.0,483.0,416.44444444444446,23.0,F,E-commerce
69,69.0,0.0,0.0,481.5,422.8888888888889,61.0,F,Logistics
70,,,,,,,,
71,71.0,6.0,1.0,486.5,503.8888888888889,69.0,F,E-commerce
72,72.0,2.0,1.0,498.0,518.4444444444445,39.0,M,E-commerce
73,73.0,0.0,0.0,485.5,421.44444444444446,26.0,M,E-commerce
74,74.0,3.0,1.0,467.0,527.7777777777778,29.0,M,E-commerce
75,75.0,0.0,0.0,493.0,425.77777777777777,49.0,F,Logistics
76,76.0,0.0,0.0,484.5,426.55555555555554,58.0,M,Logistics
77,77.0,0.0,0.0,505.0,415.3333333333333,61.0,F,E-commerce
78,78.0,5.0,1.0,448.5,502.6666666666667,35.0,M,E-commerce
79,79.0,0.0,0.0,472.5,411.8888888888889,34.0,M,E-commerce
80,,,,,,,,
81,81.0,0.0,0.0,484.0,419.0,47.0,F,E-commerce
82,82.0,2.0,1.0,498.0,524.7777777777778,27.0,F,E-commerce
83,83.0,9.0,1.0,483.5,457.22222222222223,30.0,M,Logistics
84,84.0,0.0,0.0,505.5,422.44444444444446,62.0,F,Logistics
85,85.0,0.0,0.0,500.0,433.55555555555554,36.0,M,Logistics
86,86.0,0.0,0.0,485.0,427.3333333333333,62.0,M,Logistics
87,87.0,0.0,0.0,490.0,418.77777777777777,56.0,F,Logistics
88,88.0,1.0,1.0,515.5,528.7777777777778,33.0,M,E-commerce
89,89.0,0.0,0.0,483.5,416.3333333333333,68.0,F,E-commerce
90,,,,,,,,
91,91.0,1.0,1.0,537.0,507.3333333333333,34.0,M,Logistics
92,92.0,8.0,1.0,463.5,463.22222222222223,31.0,M,Logistics
93,93.0,4.0,1.0,488.0,503.0,48.0,F,E-commerce
94,94.0,6.0,1.0,504.5,491.1111111111111,49.0,M,Logistics
95,95.0,0.0,0.0,478.5,409.55555555555554,64.0,F,Logistics
96,96.0,0.0,0.0,502.5,420.3333333333333,27.0,F,Logistics
97,97.0,0.0,0.0,463.0,419.6666666666667,18.0,M,E-commerce
98,98.0,6.0,1.0,460.0,480.3333333333333,57.0,M,Logistics
99,99.0,0.0,0.0,492.5,416.77777777777777,27.0,M,E-commerce
100,,,,,,,,
101,101.0,7.0,1.0,502.0,477.22222222222223,69.0,F,E-commerce
102,102.0,0.0,0.0,485.5,428.44444444444446,49.0,M,E-commerce
103,103.0,6.0,1.0,505.5,484.22222222222223,68.0,M,E-commerce
104,104.0,6.0,1.0,483.0,488.55555555555554,41.0,M,Logistics
105,105.0,0.0,0.0,485.5,411.77777777777777,22.0,M,E-commerce
106,106.0,0.0,0.0,482.0,414.77777777777777,28.0,F,E-commerce
107,107.0,0.0,0.0,494.5,422.22222222222223,32.0,F,E-commerce
108,108.0,0.0,0.0,463.0,427.1111111111111,43.0,M,Logistics
109,109.0,0.0,0.0,470.0,424.44444444444446,29.0,F,E-commerce
110,,,,,,,,
111,111.0,0.0,0.0,495.5,422.3333333333333,65.0,F,E-commerce
112,112.0,1.0,1.0,561.0,528.3333333333334,36.0,M,Logistics
113,113.0,1.0,1.0,549.0,515.4444444444445,39.0,F,E-commerce
114,114.0,0.0,0.0,471.0,424.55555555555554,42.0,M,Logistics
115,115.0,6.0,1.0,460.0,495.6666666666667,68.0,M,Logistics
116,116.0,1.0,1.0,526.0,521.0,36.0,M,Logistics
117,117.0,3.0,1.0,486.0,515.6666666666666,35.0,M,Logistics
118,118.0,9.0,1.0,494.5,457.22222222222223,62.0,F,E-commerce
119,119.0,0.0,0.0,463.0,417.22222222222223,42.0,M,E-commerce
120,,,,,,,,
121,121.0,7.0,1.0,458.0,474.77777777777777,27.0,M,E-commerce
122,122.0,0.0,0.0,489.0,421.6666666666667,23.0,F,Logistics
123,123.0,5.0,1.0,511.0,507.0,28.0,F,E-commerce
124,124.0,7.0,1.0,474.0,477.1111111111111,53.0,F,E-commerce
125,125.0,4.0,1.0,493.0,514.1111111111111,41.0,M,Logistics
126,126.0,0.0,0.0,467.5,410.44444444444446,57.0,M,Logistics
127,127.0,4.0,1.0,463.5,500.0,65.0,F,Logistics
128,128.0,6.0,1.0,500.0,481.22222222222223,46.0,M,Logistics
129,129.0,0.0,0.0,494.5,426.55555555555554,65.0,M,E-commerce
130,,,,,,,,
131,131.0,3.0,1.0,513.0,526.7777777777778,39.0,M,Logistics
132,132.0,5.0,1.0,481.5,486.44444444444446,25.0,M,E-commerce
133,133.0,10.0,1.0,482.5,443.0,28.0,F,E-commerce
134,134.0,0.0,0.0,507.5,420.0,48.0,M,E-commerce
135,135.0,1.0,1.0,528.5,522.8888888888889,48.0,M,Logistics
136,136.0,0.0,0.0,484.5,428.1111111111111,56.0,F,E-commerce
137,137.0,0.0,0.0,458.5,415.1111111111111,28.0,F,E-commerce
138,138.0,11.0,1.0,491.5,430.22222222222223,66.0,F,Logistics
139,139.0,11.0,1.0,475.0,438.77777777777777,30.0,F,Logistics
140,,,,,,,,
141,141.0,0.0,0.0,482.5,413.77777777777777,35.0,F,Logistics
142,142.0,0.0,0.0,492.5,402.44444444444446,60.0,F,E-commerce
143,143.0,0.0,0.0,472.5,412.77777777777777,57.0,F,E-commerce
144,144.0,7.0,1.0,482.0,478.22222222222223,38.0,F,E-commerce
145,145.0,0.0,0.0,507.0,410.1111111111111,38.0,M,E-commerce
146,146.0,7.0,1.0,462.5,480.6666666666667,39.0,M,E-commerce
147,147.0,9.0,1.0,458.0,462.1111111111111,26.0,F,E-commerce
148,148.0,0.0,0.0,481.0,426.6666666666667,58.0,F,Logistics
149,149.0,0.0,0.0,494.5,417.8888888888889,23.0,F,Logistics
150,,,,,,,,
151,151.0,7.0,1.0,469.0,475.0,18.0,F,Logistics
152,152.0,0.0,0.0,506.0,420.55555555555554,66.0,F,Logistics
153,153.0,0.0,0.0,498.5,416.55555555555554,32.0,F,E-commerce
154,154.0,3.0,1.0,499.5,529.3333333333334,41.0,M,Logistics
155,155.0,7.0,1.0,487.0,485.55555555555554,62.0,F,E-commerce
156,156.0,0.0,0.0,459.0,411.6666666666667,20.0,F,E-commerce
157,157.0,9.0,1.0,471.0,447.55555555555554,32.0,M,E-commerce
158,158.0,6.0,1.0,460.0,485.6666666666667,56.0,F,E-commerce
159,159.0,6.0,1.0,481.0,485.44444444444446,20.0,M,E-commerce
160,,,,,,,,
161,161.0,0.0,0.0,463.5,415.77777777777777,24.0,M,Logistics
162,162.0,0.0,0.0,476.0,427.1111111111111,34.0,F,Logistics
163,163.0,0.0,0.0,449.0,427.77777777777777,69.0,F,E-commerce
164,164.0,2.0,1.0,463.5,516.5555555555555,47.0,F,Logistics
165,165.0,0.0,0.0,471.5,406.44444444444446,58.0,F,Logistics
